,customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy_level,renew_offer_type,sales_channel,vehicle_class,vehicle_size,number_of_open_complaints,number_of_policies
0,BU79786,Washington,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,1
1,QZ44356,Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal Auto,3,Offer3,Agent,Four-Door Car,Medsize,0,8
2,AI49188,Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,2
3,WW63253,California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate Auto,2,Offer1,Call Center,SUV,Medsize,0,7
4,HB64268,Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,0,1
5,OC83172,Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,3,Offer2,Web,Two-Door Car,Medsize,0,2
6,XZ87318,Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,9
7,CF85061,Arizona,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,4
8,DY87989,Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Corporate Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,2
9,BQ94931,Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special Auto,2,Offer2,Branch,Four-Door Car,Medsize,0,8
10,SX51350,California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,3
11,VQ65197,California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,3,Offer2,Agent,SUV,Medsize,0,3
12,DP39365,California,No,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate Auto,1,Offer2,Agent,Four-Door Car,Medsize,2,3
13,SJ95423,Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,3,Offer2,Branch,SUV,Medsize,1,8
14,IL66569,California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,3,Offer4,Call Center,Four-Door Car,Medsize,2,8
15,BW63560,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,2,Offer2,Branch,Four-Door Car,Medsize,1,2
16,FV94802,Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer2,Call Center,Two-Door Car,Medsize,0,1
17,OE15005,California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,2,Offer3,Call Center,SUV,Medsize,0,1
18,WC83389,Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal Auto,2,Offer2,Branch,Four-Door Car,Medsize,0,7
19,FL50705,California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate Auto,2,Offer1,Call Center,Four-Door Car,Small,0,3
20,ZK25313,Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal Auto,2,Offer1,Branch,Two-Door Car,Medsize,0,1
21,SV62436,Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal Auto,3,Offer4,Call Center,Four-Door Car,Medsize,0,1
22,YH23384,Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,2
23,TZ98966,Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate Auto,3,Offer1,Branch,Four-Door Car,Medsize,3,1
